security_holder,holder_type,security_class,shares_or_units,fully_diluted_percent,notes
Founders,Common,Common Stock,5150000,30.1,Subject to standard vesting and repurchase provisions
Employee Option Pool,Equity Incentive,Options Reserved,1810000,10.6,Includes proposed Series B pool increase
HelioSeed Ventures,Investor,Series Seed Preferred,2140000,12.5,Lead seed investor
Northstar Medical Fund,Investor,Series A Preferred,3485000,20.4,Lead Series A investor
Keiretsu Forum SPV,Investor,Series A Preferred,890000,5.2,Strategic angel syndicate
MedVector Strategic,Investor,Series A Preferred,760000,4.4,Strategic investor with observer rights
Convertible Notes,Debt/Equity,SAFE/Notes,1225000,7.2,Converts at Series B qualified financing
Advisors,Equity Incentive,Options Granted,335000,2.0,Clinical and regulatory advisors
Employees,Equity Incentive,Options Granted,1305000,7.6,Current and former employees

