folder,file,pdf_type,synthetic_or_public,demo_use
"10_PDF_Ingestion_Pack/A_Market_Regulatory","market_context_us_healthcare_2024.pdf","U.S. Healthcare Market Context for Medtech Diligence","Public-source summary with synthetic diligence implications","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/A_Market_Regulatory","fda_510k_regulatory_pathway_packet.pdf","FDA 510(k) Regulatory Pathway Packet","Public FDA context plus synthetic Solaris application notes","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/A_Market_Regulatory","part_11_electronic_records_assessment.pdf","21 CFR Part 11 Electronic Records Assessment","Synthetic company controls with public FDA context","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/B_Financial","series_b_investor_memo_finance_pack.pdf","Series B Investor Memo - Finance Pack","Synthetic company data for demo ingestion","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/B_Financial","quality_of_revenue_review.pdf","Quality of Revenue Review","Synthetic company data for demo ingestion","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/B_Financial","cash_runway_sensitivity_analysis.pdf","Cash Runway Sensitivity Analysis","Synthetic company data for demo ingestion","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/C_Clinical","ous_registry_clinical_study_report.pdf","OUS Registry Clinical Study Report","Synthetic clinical data for demo ingestion","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/C_Clinical","pivotal_study_protocol_synopsis.pdf","Pivotal Study Protocol Synopsis","Synthetic clinical protocol summary","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/D_Commercial","commercial_pipeline_board_packet.pdf","Commercial Pipeline Board Packet","Synthetic company data for demo ingestion","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/D_Commercial","press_release_entity_disambiguation_packet.pdf","Solaris Press Release and Entity Disambiguation Packet","Synthetic company releases with real-world diligence framing","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/E_Security_Compliance","soc2_hipaa_readiness_packet.pdf","SOC 2 and HIPAA Readiness Packet","Synthetic control evidence for demo ingestion","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/E_Security_Compliance","fedramp_alignment_gap_assessment.pdf","FedRAMP Alignment Gap Assessment","Synthetic company data for demo ingestion","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/F_Legal_IP","patent_landscape_and_fto_summary.pdf","Patent Landscape and FTO Summary","Synthetic company data for demo ingestion","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/F_Legal_IP","material_contracts_summary.pdf","Material Contracts Summary","Synthetic company data for demo ingestion","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/G_Founder_Dashboard","investor_engagement_dashboard_export.pdf","Investor Engagement Dashboard Export","Synthetic dashboard data for demo ingestion","PDF ingestion and citation demo"
"10_PDF_Ingestion_Pack/G_Founder_Dashboard","approved_dd_report_version_history.pdf","Approved DD Report Version History","Synthetic company data for demo ingestion","PDF ingestion and citation demo"
